矩阵规模,线程数目,计算次数,静态线程分配平均时长/s
100,4,1,0.0003262
100,5,1,0.0002533
100,6,1,0.0002834
100,7,1,0.0003083
100,8,1,0.0003854
100,9,1,0.0003775
100,10,1,0.0004361
100,11,1,0.0008952
100,12,1,0.0004498
200,4,1,0.0002073
200,5,1,0.0002178
200,6,1,0.0002575
200,7,1,0.0002974
200,8,1,0.0003263
200,9,1,0.0004015
200,10,1,0.0003954
200,11,1,0.0004601
200,12,1,0.0004621
300,4,1,0.0002381
300,5,1,0.0002327
300,6,1,0.0002442
300,7,1,0.0002906
300,8,1,0.0003154
300,9,1,0.0003614
300,10,1,0.0003876
300,11,1,0.000469
300,12,1,0.0005882
400,4,1,0.0002939
400,5,1,0.0002911
400,6,1,0.0002729
400,7,1,0.0003127
400,8,1,0.0003479
400,9,1,0.0003836
400,10,1,0.0004555
400,11,1,0.0004856
400,12,1,0.0004907
500,4,1,0.0003254
500,5,1,0.0003818
500,6,1,0.0003993
500,7,1,0.0003954
500,8,1,0.0004226
500,9,1,0.0005853
500,10,1,0.006632
500,11,1,0.0006432
500,12,1,0.000669
600,4,1,0.0003895
600,5,1,0.0003542
600,6,1,0.0003517
600,7,1,0.0004229
600,8,1,0.0004527
600,9,1,0.0004845
600,10,1,0.0005208
600,11,1,0.0005513
600,12,1,0.0005882
700,4,1,0.0003442
700,5,1,0.0003083
700,6,1,0.0002953
700,7,1,0.0003312
700,8,1,0.0005865
700,9,1,0.0005226
700,10,1,0.0005751
700,11,1,0.000614
700,12,1,0.0005934
800,4,1,0.0004488
800,5,1,0.0003986
800,6,1,0.0003687
800,7,1,0.0003274
800,8,1,0.0003229
800,9,1,0.0002996
800,10,1,0.0003761
800,11,1,0.0004052
800,12,1,0.0004567
900,4,1,0.0002897
900,5,1,0.0002868
900,6,1,0.0002654
900,7,1,0.0002912
900,8,1,0.0002965
900,9,1,0.0003072
900,10,1,0.0003768
900,11,1,0.0003714
900,12,1,0.0003882
1000,4,1,0.0003935
1000,5,1,0.0003306
1000,6,1,0.0003324
1000,7,1,0.0003112
1000,8,1,0.0004028
1000,9,1,0.0003927
1000,10,1,0.0004086
1000,11,1,0.0004369
1000,12,1,0.0005187
2000,4,1,0.0002977
2000,5,1,0.0002075
2000,6,1,0.0002602
2000,7,1,0.0002739
2000,8,1,0.0003582
2000,9,1,0.0003259
2000,10,1,0.0004011
2000,11,1,0.0003915
2000,12,1,0.0004403
3000,4,1,0.0003101
3000,5,1,0.000263
3000,6,1,0.0003387
3000,7,1,0.0003058
3000,8,1,0.00031
3000,9,1,0.0003462
3000,10,1,0.0003798
3000,11,1,0.0003759
3000,12,1,0.0004803
4000,4,1,0.0003678
4000,5,1,0.0002928
4000,6,1,0.0003156
4000,7,1,0.0002981
4000,8,1,0.0002826
4000,9,1,0.0003126
4000,10,1,0.0003917
4000,11,1,0.0003764
4000,12,1,0.0004288
5000,4,1,0.0003576
5000,5,1,0.0002731
5000,6,1,0.0002522
5000,7,1,0.0003099
5000,8,1,0.0003213
5000,9,1,0.000336
5000,10,1,0.0003432
5000,11,1,0.0003811
5000,12,1,0.0004296
6000,4,1,0.0004475
6000,5,1,0.0003375
6000,6,1,0.0003164
6000,7,1,0.0003892
6000,8,1,0.000367
6000,9,1,0.0005904
6000,10,1,0.0005051
6000,11,1,0.0005609
6000,12,1,0.0006585
7000,4,1,0.0004507
7000,5,1,0.0003354
7000,6,1,0.0002725
7000,7,1,0.0002833
7000,8,1,0.0003079
7000,9,1,0.0003374
7000,10,1,0.0003377
7000,11,1,0.0004143
7000,12,1,0.0004178
8000,4,1,0.0003697
8000,5,1,0.0002419
8000,6,1,0.0003031
8000,7,1,0.0002755
8000,8,1,0.0003254
8000,9,1,0.0003019
8000,10,1,0.0003227
8000,11,1,0.0003648
8000,12,1,0.0003661
9000,4,1,0.0004698
9000,5,1,0.0003074
9000,6,1,0.0002994
9000,7,1,0.0003808
9000,8,1,0.0002842
9000,9,1,0.000333
9000,10,1,0.0004021
9000,11,1,0.000417
9000,12,1,0.0004609
10000,4,1,0.0003935
10000,5,1,0.0002297
10000,6,1,0.0002646
10000,7,1,0.0002723
10000,8,1,0.0003059
10000,9,1,0.0003681
10000,10,1,0.0003739
10000,11,1,0.0003871
10000,12,1,0.0003818
