矩阵规模,线程数目,计算次数,静态线程分配平均时长/s,动态线程分配平均时长/s
100,4,1,0.0003437,0.0003262
100,5,1,0.0003032,0.0002533
100,6,1,0.0003624,0.0002834
100,7,1,0.0003583,0.0003083
100,8,1,0.0003875,0.0003854
100,9,1,0.000451,0.0003775
100,10,1,0.0004707,0.0004361
100,11,1,0.0004335,0.0008952
100,12,1,0.0004681,0.0004498
200,4,1,0.0001845,0.0002073
200,5,1,0.0002238,0.0002178
200,6,1,0.0002501,0.0002575
200,7,1,0.0002723,0.0002974
200,8,1,0.0002927,0.0003263
200,9,1,0.000334,0.0004015
200,10,1,0.0003499,0.0003954
200,11,1,0.0003958,0.0004601
200,12,1,0.0004253,0.0004621
300,4,1,0.0002618,0.0002381
300,5,1,0.000292,0.0002327
300,6,1,0.0003871,0.0002442
300,7,1,0.0003493,0.0002906
300,8,1,0.0003551,0.0003154
300,9,1,0.0003944,0.0003614
300,10,1,0.0004031,0.0003876
300,11,1,0.0004726,0.000469
300,12,1,0.0004391,0.0005882
400,4,1,0.0003411,0.0002939
400,5,1,0.0003031,0.0002911
400,6,1,0.0003989,0.0002729
400,7,1,0.0003135,0.0003127
400,8,1,0.0002938,0.0003479
400,9,1,0.000383,0.0003836
400,10,1,0.0004115,0.0004555
400,11,1,0.0004384,0.0004856
400,12,1,0.0004614,0.0004907
500,4,1,0.0002839,0.0003254
500,5,1,0.0002811,0.0003818
500,6,1,0.0002601,0.0003993
500,7,1,0.0002794,0.0003954
500,8,1,0.0003109,0.0004226
500,9,1,0.0003662,0.0005853
500,10,1,0.0003486,0.0005853
500,11,1,0.0004983,0.0006432
500,12,1,0.0004252,0.000669
600,4,1,0.0004761,0.0003895
600,5,1,0.0003381,0.0003542
600,6,1,0.0002747,0.0003517
600,7,1,0.0003159,0.0004229
600,8,1,0.0002858,0.0004527
600,9,1,0.0003419,0.0004845
600,10,1,0.0003419,0.0005208
600,11,1,0.0003892,0.0005513
600,12,1,0.0004018,0.0005882
700,4,1,0.0003263,0.0003442
700,5,1,0.0003502,0.0003083
700,6,1,0.0003091,0.0002953
700,7,1,0.0003338,0.0003312
700,8,1,0.0003289,0.0005865
700,9,1,0.0003395,0.0005226
700,10,1,0.0003589,0.0005751
700,11,1,0.0004121,0.000614
700,12,1,0.0003911,0.0005934
800,4,1,0.0003267,0.0004488
800,5,1,0.0002845,0.0003986
800,6,1,0.0002985,0.0003687
800,7,1,0.0003567,0.0003274
800,8,1,0.0003322,0.0003229
800,9,1,0.0004186,0.0002996
800,10,1,0.000433,0.0003761
800,11,1,0.0005025,0.0004052
800,12,1,0.0004564,0.0004567
900,4,1,0.0002996,0.0002897
900,5,1,0.0002444,0.0002868
900,6,1,0.0002768,0.0002654
900,7,1,0.0003244,0.0002912
900,8,1,0.0002988,0.0002965
900,9,1,0.0003803,0.0003072
900,10,1,0.0003962,0.0003768
900,11,1,0.0004004,0.0003714
900,12,1,0.0004959,0.0003882
1000,4,1,0.0006934,0.0003935
1000,5,1,0.0002969,0.0003306
1000,6,1,0.0002749,0.0003324
1000,7,1,0.0002653,0.0003112
1000,8,1,0.0003557,0.0004028
1000,9,1,0.0003242,0.0003927
1000,10,1,0.0003572,0.0004086
1000,11,1,0.0004076,0.0004369
1000,12,1,0.0005079,0.0005187
2000,4,1,0.0004445,0.0002977
2000,5,1,0.0003128,0.0002075
2000,6,1,0.0003564,0.0002602
2000,7,1,0.0002925,0.0002739
2000,8,1,0.0002738,0.0003582
2000,9,1,0.0003911,0.0003259
2000,10,1,0.0003541,0.0004011
2000,11,1,0.0004708,0.0003915
2000,12,1,0.000579,0.0004403
3000,4,1,0.0004745,0.0003101
3000,5,1,0.0003192,0.000263
3000,6,1,0.0002702,0.0003387
3000,7,1,0.0002599,0.0003058
3000,8,1,0.0002552,0.00031
3000,9,1,0.0003087,0.0003462
3000,10,1,0.0004782,0.0003798
3000,11,1,0.0005116,0.0003759
3000,12,1,0.0004783,0.0004803
4000,4,1,0.0006812,0.0003678
4000,5,1,0.0005478,0.0002928
4000,6,1,0.0004994,0.0003156
4000,7,1,0.0004551,0.0002981
4000,8,1,0.0005806,0.0002826
4000,9,1,0.0006151,0.0003126
4000,10,1,0.0006432,0.0003917
4000,11,1,0.0006614,0.0003764
4000,12,1,0.0007392,0.0004288
5000,4,1,0.000788,0.0003576
5000,5,1,0.0007262,0.0002731
5000,6,1,0.000671,0.0002522
5000,7,1,0.0004793,0.0003099
5000,8,1,0.000505,0.0003213
5000,9,1,0.0005813,0.000336
5000,10,1,0.0006057,0.0003432
5000,11,1,0.0004835,0.0003811
5000,12,1,0.000478,0.0004296
6000,4,1,0.0003374,0.0004475
6000,5,1,0.0009242,0.0003375
6000,6,1,0.0007926,0.0003164
6000,7,1,0.0007558,0.0003892
6000,8,1,0.0006126,0.000367
6000,9,1,0.0006061,0.0005904
6000,10,1,0.0006175,0.0005051
6000,11,1,0.0006188,0.0005609
6000,12,1,0.0005833,0.0006585
7000,4,1,0.0008073,0.0004507
7000,5,1,0.0012309,0.0003354
7000,6,1,0.0011251,0.0002725
7000,7,1,0.001034,0.0002833
7000,8,1,0.0009124,0.0003079
7000,9,1,0.0009613,0.0003374
7000,10,1,0.0009135,0.0003377
7000,11,1,0.0008053,0.0004143
7000,12,1,0.0006695,0.0004178
8000,4,1,0.0005613,0.0003697
8000,5,1,0.0002978,0.0002419
8000,6,1,0.0015099,0.0003031
8000,7,1,0.0013257,0.0002755
8000,8,1,0.0010158,0.0003254
8000,9,1,0.0010078,0.0003019
8000,10,1,0.0009836,0.0003227
8000,11,1,0.0011708,0.0003648
8000,12,1,0.0011533,0.0003661
9000,4,1,0.000339,0.0004698
9000,5,1,0.0002607,0.0003074
9000,6,1,0.0023209,0.0002994
9000,7,1,0.0018186,0.0003808
9000,8,1,0.0016427,0.0002842
9000,9,1,0.0013992,0.000333
9000,10,1,0.0014773,0.0004021
9000,11,1,0.0013388,0.000417
9000,12,1,0.0015904,0.0004609
10000,4,1,0.0004318,0.0003935
10000,5,1,0.0003949,0.0002297
10000,6,1,0.0025118,0.0002646
10000,7,1,0.0020064,0.0002723
10000,8,1,0.0019611,0.0003059
10000,9,1,0.0017183,0.0003681
10000,10,1,0.001813,0.0003739
10000,11,1,0.0016021,0.0003871
10000,12,1,0.0016018,0.0003818
