矩阵规模*稀疏度,平凡算法时长,SSE时长,AVX平均时长,静态线程分配时长,动态线程分配时长,静态线程+sse时长,静态线程+avx时长
5000,0.0388993,0.01659,0.0117993,0.0091554,0.0095566,0.0042823,0.0026576
5000,0.0381726,0.0160084,0.0111364,0.007269,0.0006878,0.0063162,0.0027044
5000,0.0365535,0.0150808,0.0102768,0.0110503,0.0004483,0.0049634,0.0023363
5000,0.0362244,0.0152539,0.0114043,0.0141722,0.0004873,0.0046304,0.0024584
5000,0.0372905,0.0149759,0.0111629,0.0123287,0.0003449,0.0050668,0.002379
5000,0.0359345,0.0151598,0.0103117,0.0073736,0.0003325,0.0062278,0.0024932
5104,0.0363925,0.0158864,0.0107487,0.0131843,0.0005274,0.0057517,0.0027038
5104,0.0369698,0.0151852,0.0112704,0.0131536,0.0006762,0.0042688,0.0036687
5104,0.038,0.0165336,0.0106857,0.0121907,0.0004337,0.0042797,0.0024423
5104,0.0371743,0.0151455,0.0110386,0.0078325,0.000708,0.0047121,0.0036075
5104,0.0374586,0.0153734,0.0109874,0.0148311,0.0005333,0.00478,0.0041652
5104,0.0380202,0.0160359,0.0109342,0.0122592,0.0006165,0.0065602,0.0041658
5104,0.0394964,0.0164078,0.0108014,0.0133485,0.0004316,0.0042063,0.0029139
5104,0.0374253,0.0148884,0.0107203,0.0070648,0.0005409,0.0063499,0.0025725
5104,0.0365229,0.0154169,0.010639,0.0125482,0.0004214,0.0045044,0.0024232
5104,0.0369521,0.015082,0.0105837,0.0097859,0.0006867,0.0072607,0.0039712
5104,0.0396642,0.0168944,0.0108377,0.0122858,0.0006478,0.0071714,0.003659
5104,0.0401625,0.0156318,0.0108685,0.0114155,0.0005461,0.0072113,0.0031299
5104,0.0362932,0.0155183,0.0104903,0.0132772,0.000631,0.0065414,0.0027265
5104,0.0363627,0.0148373,0.0105126,0.0127801,0.000359,0.0044629,0.0024487
5104,0.0375817,0.0162297,0.0108605,0.0078493,0.000583,0.0062838,0.0041963
5104,0.0381476,0.0157928,0.0112064,0.0113893,0.0003869,0.0041499,0.0022421
5227,0.0377495,0.0153413,0.0109872,0.011417,0.0003288,0.0042725,0.0024328
5227,0.0376258,0.0161296,0.010884,0.0120113,0.0007273,0.0040939,0.0034197
5227,0.0388608,0.0155326,0.010667,0.0101322,0.0007179,0.0074559,0.0026789
5227,0.037842,0.0160349,0.0111397,0.0069554,0.0005711,0.0059421,0.0037399
5227,0.0379177,0.016328,0.0113586,0.0085937,0.000677,0.0074383,0.0031269
5227,0.0378608,0.0172656,0.0111543,0.011154,0.0006206,0.0042939,0.0026399
5227,0.039241,0.0169759,0.011075,0.0108236,0.0005305,0.0045892,0.0028037
5082,0.0370926,0.015235,0.0105364,0.0078778,0.0006226,0.005936,0.0026022
5082,0.0362271,0.015055,0.010683,0.0089654,0.0007739,0.004135,0.0026257
5082,0.0379314,0.0155957,0.0107422,0.0080746,0.0006211,0.0044156,0.0032465
5082,0.0361986,0.0153986,0.0108845,0.0073351,0.0006763,0.0045076,0.0030588
5082,0.0374931,0.0154087,0.0105885,0.0117991,0.0003832,0.0043399,0.0031638
5082,0.0375955,0.0154565,0.0109405,0.0104447,0.0005313,0.0041637,0.0024818
5082,0.0380836,0.0167139,0.0111741,0.0077126,0.0005117,0.0060019,0.0038667
